period,posts,avg_sentiment,positive_rate,negative_rate,rolling_mean,rolling_std,z_score,trend_flag
2017-04-19,18,0.4444444444444444,0.6666666666666666,0.2222222222222222,0.625034362178819,0.19763475169013126,-0.9137558865027897,normal
2017-04-20,27,0.5555555555555556,0.6666666666666666,0.1111111111111111,0.6264773636218205,0.19699270376568576,-0.3600225120551841,normal
2017-04-21,71,0.7464788732394366,0.8169014084507042,0.07042253521126761,0.6109367515282063,0.17944525641598866,0.7553396752768857,normal
2017-04-22,47,0.6808510638297872,0.7872340425531915,0.10638297872340426,0.571423073716656,0.10574582469020456,1.0348209060141522,normal
2017-04-23,16,0.75,0.8125,0.0625,0.6071373594309418,0.11899087384443237,1.2006184672266174,normal
2017-04-24,24,0.5833333333333334,0.7916666666666666,0.20833333333333334,0.6115233243432225,0.11719930537651065,-0.24053035911200096,normal
2017-04-25,35,0.4,0.6,0.2,0.5943804672003654,0.1394767113593102,-1.3936410265626062,normal
2017-04-26,16,0.6875,0.8125,0.125,0.6291026894225876,0.12548142327735393,0.46538610299578537,normal
2017-04-27,17,0.6470588235294118,0.7647058823529411,0.11764705882352941,0.6421745848474242,0.12123712730862397,0.040286657976926404,normal
2017-04-28,60,0.9166666666666666,0.95,0.03333333333333333,0.6664871267655998,0.15733163846427575,1.5901413240406403,normal
2017-04-29,53,0.7169811320754716,0.8301886792452831,0.11320754716981132,0.6716485650864119,0.1584699264511483,0.286064163745507,normal
2017-04-30,23,0.6521739130434783,0.782608695652174,0.13043478260869565,0.6576734098069089,0.1546768057920372,-0.03555476036158073,normal
2017-05-01,29,0.7931034482758621,0.896551724137931,0.10344827586206896,0.6876405690844131,0.1581550501900102,0.6668321945125629,normal
2017-05-02,28,0.5714285714285714,0.6785714285714286,0.10714285714285714,0.7121303650027803,0.11302507103199234,-1.2448724189200684,normal
2017-05-03,37,0.8918918918918919,0.9459459459459459,0.05405405405405406,0.7413292067016221,0.13063150798089657,1.1525755732092442,normal
2017-05-04,35,0.9142857142857143,0.9142857142857143,0.0,0.7795044768096652,0.13736395384869296,0.9811980050058202,normal
2017-05-05,82,0.8780487804878049,0.9024390243902439,0.024390243902439025,0.7739876359269707,0.13159128620431873,0.7907905421583982,normal
2017-05-06,34,1.0,1.0,0.0,0.8144189027733317,0.1529088156878356,1.213671666946485,normal
2017-05-07,36,0.9722222222222222,0.9722222222222222,0.0,0.8601400897988666,0.143893535774324,0.7789240275472838,normal
2017-05-08,20,1.0,1.0,0.0,0.889696740045172,0.14898759007835102,0.740351997752435,normal
2017-05-09,24,0.5833333333333334,0.7916666666666666,0.20833333333333334,0.891397420317281,0.14475696621575274,-2.128146886725949,negative_spike
2017-05-10,21,0.6666666666666666,0.7619047619047619,0.09523809523809523,0.8592223881422488,0.16782158873533706,-1.1473834977170434,normal
2017-05-11,18,0.4444444444444444,0.7222222222222222,0.2777777777777778,0.7921022067363531,0.2260005366152884,-1.53830503015005,normal
2017-05-12,101,0.801980198019802,0.8712871287128713,0.06930693069306931,0.7812352663837814,0.22298788596625133,0.09303165302513493,normal
2017-05-13,38,0.9736842105263158,0.9736842105263158,0.0,0.7774758678875406,0.2188687733225147,0.8964656751178105,normal
2017-05-14,17,0.7647058823529411,0.8823529411764706,0.11764705882352941,0.7478306764776433,0.20145566427132797,0.08376635095536271,normal
2017-05-15,22,0.8181818181818182,0.8636363636363636,0.045454545454545456,0.7218566505036174,0.17327419178779147,0.5559117990068024,normal
2017-05-16,24,0.2916666666666667,0.5833333333333334,0.2916666666666667,0.6801899838369508,0.23589037293280704,-1.6470503324904842,normal
2017-05-17,179,0.8938547486033519,0.9106145251396648,0.01675977653631285,0.7126454241136201,0.24898523069478082,0.727791459694522,normal
2017-05-18,89,0.8089887640449438,0.8426966292134831,0.033707865168539325,0.7647231840565486,0.21997253340425024,0.20123230524897848,normal
2017-05-19,63,0.8412698412698413,0.8888888888888888,0.047619047619047616,0.7703359902351256,0.2215770269388606,0.3201317935107433,normal
2017-05-20,46,0.8695652173913043,0.9130434782608695,0.043478260869565216,0.7554618483586955,0.20877640884962875,0.5465338237271427,normal
2017-05-21,33,0.6060606060606061,0.7575757575757576,0.15151515151515152,0.7327982374597903,0.21608846088881078,-0.5865080943141968,normal
2017-05-22,24,0.8333333333333334,0.9166666666666666,0.08333333333333333,0.7349627396242926,0.21715950041916854,0.45298775102706795,normal
2017-05-23,19,0.8947368421052632,0.9473684210526315,0.05263157894736842,0.8211156218298064,0.10000801090541461,0.7361532302155889,normal
2017-05-24,19,0.5789473684210527,0.6842105263157895,0.10526315789473684,0.776128853232335,0.12858034480751454,-1.5335274229234968,normal
2017-05-25,28,0.6071428571428571,0.7857142857142857,0.17857142857142858,0.7472937236748941,0.14192349505073457,-0.9875099713541872,normal
2017-05-26,75,0.7866666666666666,0.8666666666666667,0.08,0.7394932701601549,0.1373234983053155,0.34352020658277804,normal
2017-05-27,43,0.4883720930232558,0.7209302325581395,0.23255813953488372,0.6850371095361479,0.15194915775878495,-1.2942817151056036,normal
2017-05-28,25,0.92,0.96,0.04,0.7298855943846327,0.17001070794859643,1.118249596800981,normal
2017-05-29,23,0.6086956521739131,0.7391304347826086,0.13043478260869565,0.6977944970761442,0.16842334686601312,-0.5290171853259301,normal
2017-05-30,30,0.6666666666666666,0.7666666666666667,0.1,0.665213043442059,0.14430889284873047,0.010072998246416894,normal
2017-05-31,21,0.5714285714285714,0.6666666666666666,0.09523809523809523,0.6641389295859901,0.14508389744750355,-0.6390120460540051,normal
2017-06-01,19,0.6842105263157895,0.7894736842105263,0.10526315789473684,0.6751485966106948,0.14294629010967908,0.06339394816152055,normal
2017-06-02,87,0.8850574712643678,0.9195402298850575,0.034482758620689655,0.6892044258389378,0.15960594313236554,1.2271037129425926,normal
2017-06-03,55,0.8181818181818182,0.9090909090909091,0.09090909090909091,0.7363201008615896,0.13760249301310606,0.5949144926642546,normal
2017-06-04,24,0.6666666666666666,0.75,0.08333333333333333,0.7001296246711134,0.11221387175087201,-0.2982069639192066,normal
2017-06-05,24,0.2916666666666667,0.5833333333333334,0.2916666666666667,0.6548397695986496,0.19134407838919248,-1.8980106726547945,normal
2017-06-06,26,0.6153846153846154,0.7692307692307693,0.15384615384615385,0.6475137622726422,0.1917969755688148,-0.16751644176213407,normal
2017-06-07,23,0.8695652173913043,0.9130434782608695,0.043478260869565216,0.6901047116958898,0.20475043698333056,0.8764841156848178,normal
2017-06-08,20,0.4,0.7,0.3,0.6495032079364914,0.2324231329003841,-1.0734869839459042,normal
2017-06-09,30,0.6333333333333333,0.8,0.16666666666666666,0.6135426168034864,0.2081051742563819,0.09509958894854321,normal
2017-06-10,16,0.625,0.8125,0.1875,0.5859452142060838,0.1883123884187135,0.2073936086832359,normal
2017-06-11,11,0.5454545454545454,0.6363636363636364,0.09090909090909091,0.5686291968900665,0.18519987579663885,-0.1251331910231319,normal
2017-06-12,40,0.775,0.825,0.05,0.6376768159376855,0.1518231500386875,0.9044943674750646,normal
2017-06-13,18,0.5,0.7222222222222222,0.2222222222222222,0.621193299454169,0.16065368164555252,-0.7543761102316704,normal
2017-06-14,13,0.6153846153846154,0.7692307692307693,0.15384615384615385,0.5848817848817849,0.11830263530080275,0.25783728676265216,normal
2017-06-15,8,0.25,0.5,0.25,0.5634532134532135,0.1626465138805307,-1.92720523775539,normal
2017-06-16,48,0.8125,0.875,0.0625,0.5890484515484516,0.18765153348147529,1.1907792294892554,normal
2017-06-17,28,0.7857142857142857,0.8928571428571429,0.10714285714285714,0.6120076352219209,0.20206172975731546,0.8596712039483859,normal
2017-06-18,12,0.6666666666666666,0.75,0.08333333333333333,0.6293236525379384,0.20059621156533322,0.18616011657112358,normal
2017-06-19,26,0.8846153846153846,0.9230769230769231,0.038461538461538464,0.6449829931972789,0.21743535674394587,1.1020856727560608,normal
2017-06-20,19,0.7894736842105263,0.8421052631578947,0.05263157894736842,0.6863363766559256,0.2127422467772135,0.48479937161990894,normal
2017-06-21,84,0.8809523809523809,0.9166666666666666,0.03571428571428571,0.7242746288798921,0.2214804886858182,0.7074110816810797,normal
2017-06-22,45,0.8666666666666667,0.9111111111111111,0.044444444444444446,0.8123698669751303,0.07674124620173071,0.7075308569892876,normal
2017-06-23,45,0.6,0.7333333333333333,0.13333333333333333,0.7820127241179874,0.11104455848806453,-1.6390962924811014,normal
2017-06-24,22,0.5909090909090909,0.7272727272727273,0.13636363636363635,0.754183410574388,0.13233226240546203,-1.2338209647246072,normal
2017-06-25,20,0.55,0.7,0.15,0.7375167439077215,0.15119424938646706,-1.2402372753504043,normal
2017-06-26,24,0.5833333333333334,0.75,0.16666666666666666,0.6944764508674284,0.14510079973853282,-0.7659717777873829,normal
2017-06-27,16,0.625,0.75,0.125,0.6709802102659247,0.14039435063066433,-0.32750755325536507,normal
2017-06-28,8,0.25,0.625,0.375,0.5808441558441559,0.18005920737344794,-1.8374187061591118,normal
2017-06-29,9,0.8888888888888888,0.8888888888888888,0.0,0.5840187590187591,0.1860351275459508,1.6387772239134064,normal
2017-06-30,37,0.8378378378378378,0.8648648648648649,0.02702702702702703,0.617995592995593,0.20965931097293267,1.0485689560938545,normal
2017-07-01,21,0.7142857142857143,0.8095238095238095,0.09523809523809523,0.6356208249065392,0.21217356390828213,0.3707572608488597,normal
2017-07-02,9,0.6666666666666666,0.7777777777777778,0.1111111111111111,0.6522874915732059,0.20888362051539833,0.0688382126754681,normal
2017-07-03,5,1.0,1.0,0.0,0.7118113010970154,0.24260459146315397,1.1878946608755911,normal
2017-07-04,8,0.375,0.625,0.25,0.6760970153827296,0.2738974887051598,-1.099305498586915,normal
2017-07-05,7,0.7142857142857143,0.8571428571428571,0.14285714285714285,0.7424235459949745,0.19967651150397936,-0.14091708382385,normal
2017-07-06,16,0.5,0.75,0.25,0.686867990439419,0.20612956936133356,-0.9065559638940008,normal
2017-07-07,38,0.7368421052631579,0.868421052631579,0.13157894736842105,0.6724400286430362,0.197139861920525,0.326682163580315,normal
2017-07-08,12,0.5833333333333334,0.75,0.16666666666666666,0.653732545649839,0.19871415955704932,-0.35427375921993376,normal
2017-07-09,11,1.0,1.0,0.0,0.7013515932688865,0.2383221719414829,1.253128923331745,normal
2017-07-10,18,0.7222222222222222,0.7777777777777778,0.05555555555555555,0.6616690535863469,0.20041894889360923,0.30213295184987476,normal
2017-07-11,12,0.3333333333333333,0.5833333333333334,0.25,0.6557166726339659,0.21070663392921143,-1.5300103906977123,normal
2017-07-12,14,0.8571428571428571,0.9285714285714286,0.07142857142857142,0.6761248358992721,0.22383417848987913,0.8087148373177062,normal
2017-07-13,16,0.5,0.6875,0.1875,0.6761248358992721,0.22383417848987913,-0.7868540769221074,normal
2017-07-14,30,0.6333333333333333,0.7666666666666667,0.13333333333333333,0.6613378684807257,0.22256998218396323,-0.12582350446631896,normal
2017-07-15,22,0.8636363636363636,0.8636363636363636,0.0,0.7013811585240157,0.23124305391818664,0.7016652062109225,normal
2017-07-16,14,0.5714285714285714,0.7142857142857143,0.14285714285714285,0.6401566687280973,0.19249047390516155,-0.35704674576980705,normal
2017-07-17,12,0.6666666666666666,0.75,0.08333333333333333,0.6322201607915894,0.18966751746069757,0.1816152092685832,normal
2017-07-18,15,0.26666666666666666,0.6,0.3333333333333333,0.6226963512677799,0.2079678275928683,-1.711945971268694,normal
2017-07-19,64,0.84375,0.859375,0.015625,0.6207830859616574,0.20549843117570502,1.0850054317334503,normal
2017-07-20,37,0.8108108108108109,0.8918918918918919,0.08108108108108109,0.6651846303632017,0.2086061415020678,0.6980915298036209,normal
2017-07-21,27,0.5555555555555556,0.7407407407407407,0.18518518518518517,0.6540735192520908,0.21261818871085783,-0.46335623633080153,normal
2017-07-22,21,0.8095238095238095,0.8571428571428571,0.047619047619047616,0.6463431543788687,0.2045600409968258,0.797715205519894,normal
2017-07-23,16,0.8125,0.875,0.0625,0.6807819298890728,0.21006449804500144,0.6270363214002475,normal
2017-07-24,8,0.25,0.5,0.25,0.6212581203652634,0.26625013402028513,-1.3943959943208062,normal
2017-07-25,16,0.4375,0.625,0.1875,0.6456628822700251,0.23423549550741052,-0.8886905966966883,normal
2017-07-26,23,0.6521739130434783,0.782608695652174,0.13043478260869565,0.6182948698476649,0.21785256280227813,0.15551363160488413,normal
2017-07-27,11,0.6363636363636364,0.7272727272727273,0.09090909090909091,0.59337384492664,0.20152548438258197,0.21332186134525413,normal
2017-07-28,29,0.8620689655172413,0.896551724137931,0.034482758620689655,0.6371614749211665,0.22398678315482737,1.0041105436145803,normal
2017-07-29,22,0.7272727272727273,0.8181818181818182,0.09090909090909091,0.6254113203138691,0.21543184330003742,0.47282428353450595,normal
2017-07-30,17,0.7058823529411765,0.8235294117647058,0.11764705882352941,0.6101802278768943,0.20343499552828126,0.47043098369463104,normal
2017-07-31,14,0.5,0.7142857142857143,0.21428571428571427,0.6458945135911801,0.14247578687068943,-1.023995141880448,normal
