period,posts,avg_sentiment,positive_rate,negative_rate
2015-12-27,11,0.9090909090909091,0.9090909090909091,0.0
2015-12-28,18,0.3333333333333333,0.6111111111111112,0.2777777777777778
2015-12-29,21,0.5714285714285714,0.7619047619047619,0.19047619047619047
2015-12-30,27,0.7407407407407407,0.8518518518518519,0.1111111111111111
2015-12-31,22,0.5454545454545454,0.6363636363636364,0.09090909090909091
2016-01-01,11,0.36363636363636365,0.5454545454545454,0.18181818181818182
2016-01-02,9,0.4444444444444444,0.6666666666666666,0.2222222222222222
2016-01-03,21,0.6190476190476191,0.8095238095238095,0.19047619047619047
2016-01-04,14,0.8571428571428571,0.8571428571428571,0.0
2016-01-05,18,0.5555555555555556,0.6666666666666666,0.1111111111111111
2016-01-06,30,0.8333333333333334,0.8666666666666667,0.03333333333333333
2016-01-07,10,0.3,0.6,0.3
2016-01-08,25,0.56,0.68,0.12
2016-01-09,12,0.8333333333333334,0.9166666666666666,0.08333333333333333
2016-01-10,15,0.8666666666666667,0.9333333333333333,0.06666666666666667
2016-01-11,14,0.7142857142857143,0.7857142857142857,0.07142857142857142
2016-01-12,11,0.7272727272727273,0.8181818181818182,0.09090909090909091
2016-01-13,21,0.6190476190476191,0.7142857142857143,0.09523809523809523
2016-01-14,17,0.5294117647058824,0.5882352941176471,0.058823529411764705
2016-01-15,20,0.9,0.95,0.05
2016-01-16,9,1.0,1.0,0.0
2016-01-17,15,0.6,0.7333333333333333,0.13333333333333333
2016-01-18,12,0.25,0.5833333333333334,0.3333333333333333
2016-01-19,16,0.625,0.8125,0.1875
2016-01-20,32,0.5,0.6875,0.1875
2016-01-21,18,0.9444444444444444,0.9444444444444444,0.0
2016-01-22,28,0.7142857142857143,0.7857142857142857,0.07142857142857142
2016-01-23,29,0.8620689655172413,0.896551724137931,0.034482758620689655
2016-01-24,23,0.8260869565217391,0.8695652173913043,0.043478260869565216
2016-01-25,9,1.0,1.0,0.0
2016-01-26,21,0.8095238095238095,0.9047619047619048,0.09523809523809523
2016-01-27,19,0.8947368421052632,0.8947368421052632,0.0
2016-01-28,16,0.5,0.75,0.25
2016-01-29,19,0.3684210526315789,0.5789473684210527,0.21052631578947367
2016-01-30,14,0.35714285714285715,0.6428571428571429,0.2857142857142857
2016-01-31,17,0.5882352941176471,0.7647058823529411,0.17647058823529413
2016-02-01,25,0.56,0.68,0.12
2016-02-02,8,0.5,0.5,0.0
2016-02-03,25,1.0,1.0,0.0
2016-02-04,17,0.4117647058823529,0.5882352941176471,0.17647058823529413
2016-02-05,17,0.8235294117647058,0.8823529411764706,0.058823529411764705
2016-02-06,8,0.375,0.625,0.25
2016-02-07,22,0.45454545454545453,0.5454545454545454,0.09090909090909091
2016-02-08,25,0.84,0.92,0.08
2016-02-09,16,0.75,0.875,0.125
2016-02-10,15,0.8,0.8666666666666667,0.06666666666666667
2016-02-11,14,0.7857142857142857,0.7857142857142857,0.0
2016-02-12,12,1.0,1.0,0.0
2016-02-13,11,0.8181818181818182,0.8181818181818182,0.0
2016-02-14,6,0.3333333333333333,0.6666666666666666,0.3333333333333333
2016-02-15,11,0.5454545454545454,0.7272727272727273,0.18181818181818182
2016-02-16,17,0.7647058823529411,0.8235294117647058,0.058823529411764705
2016-02-17,16,0.625,0.8125,0.1875
2016-02-18,27,0.5555555555555556,0.7407407407407407,0.18518518518518517
2016-02-19,29,0.4827586206896552,0.6551724137931034,0.1724137931034483
2016-02-20,10,0.5,0.7,0.2
2016-02-21,19,0.5789473684210527,0.6842105263157895,0.10526315789473684
2016-02-22,26,0.7692307692307693,0.7692307692307693,0.0
2016-02-23,20,0.55,0.65,0.1
2016-02-24,16,0.75,0.8125,0.0625
2016-02-25,12,0.6666666666666666,0.75,0.08333333333333333
2016-02-26,29,0.6206896551724138,0.7586206896551724,0.13793103448275862
2016-02-27,17,0.7647058823529411,0.8235294117647058,0.058823529411764705
2016-02-28,24,0.875,0.9166666666666666,0.041666666666666664
2016-02-29,12,0.5,0.6666666666666666,0.16666666666666666
2016-03-01,29,0.7241379310344828,0.7931034482758621,0.06896551724137931
2016-03-02,26,0.8076923076923077,0.8461538461538461,0.038461538461538464
2016-03-03,14,0.42857142857142855,0.6428571428571429,0.21428571428571427
2016-03-04,17,0.35294117647058826,0.6470588235294118,0.29411764705882354
